59	201	OPH	254.418	9.37506	3.19	κ	斛二
59	202	OPH	247.728	1.9841	3.82	λ	列肆二
59	203	OPH	243.5865	-3.69398	2.73	δ	九	梁
59	204	OPH	244.5795	-4.69261	3.23	ε	十	楚
