38	101	GEM	113.65005	31.8886	1.58	α(A+B)	北河二
38	102	GEM	112.27755	31.7841	4.16	ρ	北河一
38	103	GEM	107.7849	30.2453	4.41	τ	五諸侯二
38	104	GEM	100.983	25.1312	3.06	ε	井宿五
38	105	GEM	95.7399	22.5139	2.87	μ	井宿一
38	106	GEM	93.71955	22.5068	3.31	η	鉞
38	201	GEM	100.983	25.1312	3.06	ε	井宿五
38	202	GEM	97.2408	20.2122	4.13	ν	井宿二
38	301	GEM	116.112	24.3981	3.57	κ	積薪
38	302	GEM	113.98065	26.896	4.06	υ	五諸侯四
38	303	GEM	111.432	27.7983	3.78	ι	五諸侯三
38	304	GEM	107.7849	30.2453	4.41	τ	五諸侯二
38	305	GEM	103.1973	33.9614	3.6	θ	五諸侯一
38	401	GEM	116.3307	28.0263	1.16	β	北河三
38	402	GEM	113.98065	26.896	4.06	υ	五諸侯四
38	403	GEM	110.03085	21.9823	3.5	δ	天樽二
38	404	GEM	106.0272	20.5703	4.01	ζ	井宿七
38	405	GEM	99.42795	16.3994	1.93	γ	井宿三
38	501	GEM	110.03085	21.9823	3.5	δ	天樽二
38	502	GEM	109.5234	16.5405	3.58	λ	井宿八
38	503	GEM	101.3226	12.8961	3.35	ξ	井宿四
