16	101	CAP	326.76	-16.1266	2.85	δ	壘壁陣四
16	102	CAP	325.023	-16.6623	3.69	γ	壘壁陣三
16	103	CAP	320.562	-16.8346	4.28	ι	代一
16	104	CAP	316.4865	-17.2327	4.08	θ	秦一
16	105	CAP	305.253	-14.7814	3.05	β1	牛宿一
16	106	CAP	304.4115	-12.5082	4.3	α1	牛宿增六
16	201	CAP	320.562	-16.8346	4.28	ι	代一
16	202	CAP	322.1805	-21.8072	4.5	36	晉
16	203	CAP	321.6675	-22.4114	3.77	ζ	燕
16	204	CAP	316.4865	-17.2327	4.08	θ	秦一
16	301	CAP	316.4865	-17.2327	4.08	θ	秦一
16	302	CAP	316.101	-19.8549	4.82	η	周一
16	303	CAP	307.215	-17.8137	4.77	ρ	牛宿六
16	304	CAP	305.253	-14.7814	3.05	β1	牛宿一
16	401	CAP	316.101	-19.8549	4.82	η	周一
16	402	CAP	316.782	-25.0057	4.49	24	天田三
16	501	CAP	307.215	-17.8137	4.77	ρ	牛宿六
16	502	CAP	311.5245	-25.2705	4.13	ψ	天田四
16	503	CAP	312.9555	-26.9191	4.12	ω	天田二
